node1,node2,route_distance,Heuristic distance
Agra,Bhopal,536,438
Agra,Lakhimpur,363,286
Agra,Jehanabad,872,730
Aligarh,Raebareli,404,364
Araria,Faridabad,1272,1034
Araria,Jaipur,1334,1165
Araria,Calicut,2617,2052
Arrah,Kota,1086,886
Arrah,Sitamarhi,171,141
Arrah,Bhagalpur,283,234
Baghpat,Baghpat,0,0
Baghpat,Chitrakoot,653,551
Balaghat,Sitamarhi,1026,755
Balaghat,Faridabad,968,785
Balaghat,Ghazipur,756,542
Belagavi,Raebareli,1617,1346
Belagavi,Daudnagar,1794,1448
Belagavi,Palamu,1711,1338
Bhagalpur,Arrah,283,234
Bhagalpur,Lucknow,735,628
Bhopal,Agra,536,438
Bikaner,Bhopal,814,669
Bikaner,Jodhpur,253,199
Bikaner,Bikaner,0,0
Bikaner,Calicut,2314,1873
Bundi,Raebareli,695,568
Calicut,Araria,2617,2052
Calicut,Bikaner,2314,1873
Chitrakoot,Baghpat,653,551
Chitrakoot,Sikar,776,631
Chitrakoot,Sri Ganganagar,1045,866
Daudnagar,Belagavi,1794,1448
Daudnagar,Gaya,71,66
Daudnagar,Prayagraj,285,261
Daudnagar,Rohtas,46,38
Delhi,Una,365,316
Durgapur,Faridabad,1276,1137
Faridabad,Araria,1272,1034
Faridabad,Balaghat,968,785
Faridabad,Durgapur,1276,1137
Faridabad,Rajsamand,607,503
Faridabad,Morena,255,222
Faridabad,Pakur,1335,1129
Faridabad,Sagar,594,525
Gaya,Daudnagar,71,66
Ghazipur,Balaghat,756,542
Ghazipur,Raebareli,279,243
Ghazipur,Sarangarh,689,446
Ghazipur,Lakhimpur,486,381
Ghazipur,Hanamkonda,1254,936
Ghazipur,Mirzapur,142,113
Ghazipur,Sri Ganganagar,1297,1068
Hanamkonda,Ghazipur,1254,936
Jaipur,Araria,1334,1165
Jaipur,Nawada,1169,1002
Jehanabad,Agra,872,730
Jodhpur,Bikaner,253,199
Jodhpur,Jodhpur,0,0
Kota,Arrah,1086,886
Lakhimpur,Agra,363,286
Lakhimpur,Ghazipur,486,381
Lucknow,Bhagalpur,735,628
Madhepura,Patna,185,140
Madhepura,Nawada,216,165
Mahoba,Sagar,215,198
Mahoba,Rohtas,494,417
Mirzapur,Ghazipur,142,113
Morena,Faridabad,255,222
Morena,Una,689,576
Morena,Sitapur,345,291
Nawada,Jaipur,1169,1002
Nawada,Madhepura,216,165
Pakur,Faridabad,1335,1129
Pakur,Palamu,551,390
Palamu,Belagavi,1711,1338
Palamu,Pakur,551,390
Patna,Madhepura,185,140
Patna,Patna,0,0
Prayagraj,Daudnagar,285,261
Raebareli,Aligarh,404,364
Raebareli,Belagavi,1617,1346
Raebareli,Bundi,695,568
Raebareli,Ghazipur,279,243
Rajsamand,Faridabad,607,503
Rohtas,Daudnagar,46,38
Rohtas,Mahoba,494,417
Sagar,Faridabad,594,525
Sagar,Mahoba,215,198
Sagar,Sagar,0,0
Sarangarh,Ghazipur,689,446
Sarangarh,Sarangarh,0,0
Sikar,Chitrakoot,776,631
Sikar,Sikar,0,0
Sitamarhi,Arrah,171,141
Sitamarhi,Balaghat,1026,755
Sitapur,Morena,345,291
Sri Ganganagar,Chitrakoot,1045,866
Sri Ganganagar,Ghazipur,1297,1068
Una,Delhi,365,316
Una,Morena,689,576
Una,Una,0,0
